mondo alterado,rebolledo,7.4
elseq 1,autechre,7.0
faraway reach,classixx,7.7
k.m.t.,africans with mainframes,7.5
goodness,the hotelier,8.0
it happened in flatbush,the underachievers,5.3
the last word on first blues,allen ginsberg,7.9
ere gobez,debo band,8.1
ep 4,wolf parade,7.0
should i remain here at sea?,islands,7.4
wake up you!: the rise & fall of nigerian rock 1972-1977 vol. 2,various artists,7.3
earrings off!,adult jazz,6.0
dangerous woman,ariana grande,7.6
good luck and do your best,gold panda,7.4
four organs / phase patterns,steve reich,7.6
put the kid on the sleepy horse,mock orange,6.5
changesonebowie,david bowie,8.8
infrared,dawn richard,7.7
kamikaze,so so glos,7.0
juarez,terry allen,8.0
fallen angels,bob dylan,6.4
the triad,pantha du prince,8.0
pythagorean dream,rhys chatham,7.6
ullages,eagulls,6.6
wave,christian naujoks,7.5
strangers,marissa nadler,7.6
these people,richard ashcroft,5.1
beyond the bloodhounds,adia victoria,7.9
andando el tiempo,carla bley,7.8
teens of denial,car seat headrest,8.5
august 26th,post malone,5.2
a new wave of violence,head wound city,6.9
in glendale,tim heidecker,6.5
day of the dead,various artists,8.1
skip a sinking stone,mutual benefit,7.0
union and return,torn hawk,7.3
cut and paste,oscar,6.5
oh no,jessy lanza,7.9
tired of tomorrow,nothing,8.0
pile,a giant dog,8.2
what follows,shit robot,6.7
coloring book,chance the rapper,9.1
full of it ,summer cannibals,7.2
fool,jameszoo,6.9
happy songs for happy zombies,pinkshinyultrablast,6.9
the complete prestige 10-inch lp collection,miles davis,8.4
holy ghost,modern baseball,7.7
nattesferd,kvelertak,8.0
i hear you,arbor labor union,6.8
venus on edge,hooded fang,7.3
heartbreaker (deluxe reissue),ryan adams,9.0
konnichiwa,skepta,7.8
the heart speaks in whispers,corinne bailey rae,7.6
bloom forever,thomas cohen,7.9
99.9%,kaytranada,8.0
under the sun,mark pritchard,7.6
down in heaven,twin peaks,7.2
55,bacao rhythm & steel band,7.4
bottomless pit,death grips,8.1
electronica 2: the heart of noise,jean-michel jarre,4.9
get in,pita,7.2
get gone,seratones,6.8
a moon shaped pool,radiohead,9.1
spiritual songs for lovers to sing,luh,7.8
take me to the alley,gregory porter,6.7
the things that we are made of,mary chapin carpenter,6.8
the colour in anything,james blake,8.2
cult following,little scream,7.5
kindness for weakness,homeboy sandman,6.7
for good,fog,7.0
will,julianna barwick,8.2
island universe story: selected works,helado negro,7.8
piatto d'oro,meyhem lauren,6.6
as if apart,chris cohen,7.4
cluster 71,cluster,8.5
songs from wonder.land,various artists,5.0
luck or magic,britta phillips,5.0
beloved,mo troper,6.0
paradise,white lung,8.4
another splash of colour - new psychedelia in britain 1980-1985,various artists,7.2
terminal redux,vektor,8.2
trgame tierra,big black delta,4.7
hopelessness,anohni,9.0
white hot moon,pity sex,6.5
