Between Two Shores,Glen Hansard,5.7
Time Flying Beats,Matthewdavid,7.1
Rich Hood,Hoodrich Pablo Juan,6.8
The Official Body,Shopping,8.1
Voice Hardcore,Phew,7.5
Ruins,First Aid Kit,6.4
Semicircle,The Go! Team,6.3
How to Solve Our Human Problems, Pt. 2,Belle and Sebastian,7.4
November,SiR,7.2
Somewhere Else,Profligate,6.8
Into One Name,Organ Tapes,7.3
Camila,Camila Cabello,6.8
Songs of Praise,Shame,7.5
Sekundenschlaf,тпсб,7.8
The Dude,Quincy Jones,8.1
Phantom Thread Original Motion Picture Soundtrack,Jonny Greenwood,7.5
Punken,Maxo Kream,7.6
Sun Ra Plays Gershwin,Sun Ra,6.6
Vision Songs, Vol. 1,Laraaji,6.7
Gumboot Soup,King Gizzard & The Lizard Wizard,7.7
Life of a Dark Rose,Lil Skies,6.4
Winter in America,Gil Scott-HeronBrian Jackson,9.3
Wrong Creatures,Black Rebel Motorcycle Club,5.8
Song of Silver Geese,Jen Shyu,7.4
Weekend Rocker,Booji Boys,7.0
A Day With the Homies,Panda Bear,6.6
G.O.A.T.,Conway,6.5
Mr. Wollogallu,Carlos Maria TrindadeNuno Canavarro,7.0
Just for Us,Francis and the Lights,6.6
El Gato: The Human Glacier,Gucci Mane,7.3
No Dogs Allowed,Sidney Gish,7.7
Nasty Gal,Betty Davis,8.4
The Wasted Years,The Jazz Butcher,6.7
The Ghetto,RJMrLADJ Mustard,7.2
Ephorize,CupcakKe,8.3
sovereign nose of (y)​our arrogant face,Scallops Hotel,7.6
To Infinity,Special Explosion,7.5
DH00278 (Live From The O2, London, 12/16/2016),The 1975,7.1
Good Job No Conversation,Vera,6.8
Shells 2,Shells,7.6
Hats,The Blue Nile,8.8
Exposure,Esperanza Spalding,7.7
Urge to Merge,Birthing Hips,7.0
Water Memory,Emily A. Sprague,7.6
POST-,Jeff Rosenstock,8.2
Cold Devil,Drakeo the Ruler,7.9
Bright: The Album,Various Artists,3.2
Dedication 6,Lil Wayne,5.8
Lady Bird (Original Motion Picture Soundtrack),Jon Brion,7.3
Trans-Millenia Music,Pauline Anna Strom,7.3
Huncho Jack, Jack Huncho,Travis ScottQuavo,6.3
Ghosts,Jeremy Enigk,7.4
Virtual Self EP,Virtual Self,5.9
Mercury’s Rainbow,Zomby,7.7
Drum Dance to the Motherland,The Khan Jamal Creative Arts Ensemble,7.3
Lower East Suite Part One,Onyx Collective,7.4
Merry Christmas Lil’ Mama: Re-Wrapped,Chance the RapperJeremih,7.7
Pressure,Jeezy,6.3
The Beautiful & Damned,G-Eazy,5.1
Quiet Storm,Shy Glizzy,7.1
Pop 2,Charli XCX,8.4
A Home on Earth EP,The Body,7.2
Revival,Eminem,5.0
The Golden Ravedays,Superpitcher,6.6
No_One Ever Really Dies,N.E.R.D.,6.2
Finding Shore,Tom RogersonBrian Eno,8.0
Rage Against the Machine,Rage Against the Machine,9.1
Diggin’ in the Carts: A Collection of Pioneering Japanese Video Game Music,Various Artists,7.5
Wyclef Jean Inspired By...,Wyclef Jean,5.0
Saturation III,BROCKHAMPTON,7.5
Fela Kuti Box Set #4,Fela Kuti,8.5
Bloodas,Tee GrizzleyLil Durk,7.4
Special Forces,Ahnnu,7.6
Tribute To 2,Jim James,6.2
Laughing at the System EP,Total Control,8.0
My House From All Angles,Mike Dunn,6.0
Say Less,Roy Wood$,6.3
Double or Nothing,Big SeanMetro Boomin,5.4
8,Statik Selektah,5.9
2 Tha Left,G Perico,7.7
